1850,-0.671,-0.296,-0.699,-0.508,-0.329,-0.237,-0.13,-0.207,-0.357,-0.442,-0.15,-0.239,-0.355
1850,24,21,19,19,19,21,22,23,24,24,25,25,
1851,-0.222,-0.328,-0.408,-0.465,-0.28,-0.247,-0.163,-0.17,-0.062,-0.053,-0.025,-0.048,-0.206
1851,24,23,22,22,21,21,22,24,19,21,19,21,
1852,-0.3,-0.445,-0.488,-0.568,-0.196,-0.056,0.068,-0.194,-0.093,-0.197,-0.196,0.114,-0.213
1852,24,23,23,23,24,24,24,24,22,23,23,26,
1853,-0.125,-0.296,-0.222,-0.319,-0.252,-0.138,-0.048,-0.139,-0.366,-0.353,-0.265,-0.453,-0.248
1853,26,27,28,25,27,29,28,30,31,32,29,30,
1854,-0.321,-0.252,-0.224,-0.367,-0.218,-0.202,-0.24,-0.148,-0.118,-0.18,-0.375,-0.378,-0.252
1854,32,31,31,30,30,28,30,33,29,31,31,30,
2018,0.659,0.637,0.735,0.735,0.698,0.674,0.709,0.684,0.7,0.781,0.689,0.768,0.706
2018,85,87,86,85,83,84,84,85,84,83,84,84,
2019,0.835,0.78,0.979,0.879,0.714,0.787,0.825,0.834,0.818,0.846,0.791,0.959,0.837
2019,84,83,84,82,82,83,83,84,83,82,84,83,
2020,1.11,1.103,1.111,0.899,0.808,0.774,0.766,0.837,0.797,0.711,0.84,0.629,0.865
2020,85,85,84,83,83,83,83,84,83,83,82,82,
2021,0.652,0.583,0.722,0.704,0.72,0.787,0.832,0.81,0.802,0.801,0.778,0.74,0.744
2021,82,82,82,82,82,82,82,83,83,82,81,80,
2022,0.83,0.772,0.828,0.776,0.709,0.805,0.768,-9.999,-9.999,-9.999,-9.999,-9.999,0.784
2022,81,81,82,81,81,80,81,0,0,0,0,0,
