Year,Month,Julian_day,Mean
1850,1,15.5,-3.556595211
1850,2,45,0.501161435
1850,3,74.5,-1.760143924
1850,4,105,-0.147618108
1850,5,135.5,-0.630174628
1850,6,166,0.709949719
1850,7,196.5,-0.449454366
1850,8,227.5,0.351456906
1850,9,258,-2.167881624
1850,10,288.5,-3.042792194
1850,11,319,-0.031617851
1850,12,349.5,0.488387305
1851,1,380.5,0.344463187
1851,2,410,-0.34043522
1851,3,439.5,-1.170258231
1851,4,470,0.319116277
1851,5,500.5,-1.60135705
1851,6,531,0.753626098
1851,7,561.5,-1.136293902
1851,8,592.5,-0.579442714
1851,9,623,-3.166514068
1851,10,653.5,0.095209727
1851,11,684,-3.233923667
1851,12,714.5,-1.627122449
1852,1,745.5,-0.072342369
1852,2,775.5,-0.688341442
1852,3,805.5,-2.069868501
1852,4,836,-0.228214021
1852,5,866.5,0.364793064
1852,6,897,-0.268456195
1852,7,927.5,0.156775847
1852,8,958.5,-0.685636492
1852,9,989,0.854197027
1852,10,1019.5,-0.01743589
1852,11,1050,1.545980797
1852,12,1080.5,1.785235204
1853,1,1111.5,0.860948513
1853,2,1141,-0.986270896
1853,3,1170.5,-0.681258879
1853,4,1201,-1.350131469
1853,5,1231.5,-0.282733958
1853,6,1262,-0.96902565
1853,7,1292.5,-0.032321827
1853,8,1323.5,0.771217498
1853,9,1354,-0.624316018
1853,10,1384.5,-0.268060469
1853,11,1415,0.337172864
1853,12,1445.5,-2.714485273
1854,1,1476.5,0.337744424
1854,2,1506,-1.05403908
1854,3,1535.5,-0.610748841
1854,4,1566,0.446116962
1854,5,1596.5,0.017891264
1854,6,1627,-0.166126668
1854,7,1657.5,0.132489273
1854,8,1688.5,0.031714676
1854,9,1719,-1.131388352
1854,10,1749.5,-0.998487127
1854,11,1780,-1.060900719
1854,12,1810.5,-0.843863233
1855,1,1841.5,-1.033442297
1855,2,1871,-0.721781236
1855,3,1900.5,-0.029575158
1855,4,1931,-0.092991943
1855,5,1961.5,-1.903449574
1855,6,1992,0.250080724
