Year;January;February;March;April;May;June;July;August;September;October;November;December
1959;25.1240964155925;25.3530053789949;25.7244453774143;25.5098619191689;24.9410965913009;24.3075998666083;23.3177080364881;23.0844968683913;23.6011168511627;23.9815509687093;24.1664565496645;24.5287694713863
1960;24.974935402915;25.1355213675147;25.2324108789072;25.2232582497955;24.9954249910702;24.2270981905163;23.4038119258599;23.4801669788691;23.653388021825;24.0813882179236;24.3820321594991;24.7044022654823
1961;24.9763307725428;25.0529855586752;25.58491143747;25.2976861501272;25.2344124216997;24.2681565273554;23.1709078118182;22.9966747326773;23.3247195527823;23.7111056352281;23.8302012335408;24.1943067444878
1962;24.615954024776;25.1838577970342;25.1252963399534;25.0864630468742;24.8282068761462;23.9523609488772;23.5843370389966;23.232552373114;23.5323213452431;23.9131114017775;24.0234329812393;24.2971800550255
1963;24.4302865001172;25.0776287129906;25.2783151531407;25.1883633347093;24.9755092695154;24.765349732362;23.9990868678335;23.9389926437635;24.1160818782292;24.2884723968804;24.0824899945647;24.4001907156928
1964;25.0194175743111;25.4471158646228;25.757238854411;25.4078043493766;25.217150089271;24.3456619113156;23.649546469061;23.0226024980049;23.0457946436097;23.2984170029711;23.7613376193382;23.7113405190638
1965;24.2067822265277;24.7743114032295;25.2020109215686;25.1065259900087;25.2978137232703;24.3185180211131;23.797196960936;23.400128694153;23.5902339788267;23.9125194926222;23.9829860602969;24.0966326181187
1966;24.8871980955478;25.2036963890286;25.6324534277944;25.7171352143288;25.4762590304905;24.9119018482869;24.3890812723212;23.5529671290237;23.5086834257309;24.0165604681883;24.2394251757173;24.5726899619912
1967;24.7593780245625;25.2141430755163;25.2885987481575;25.1179192493804;24.8332255875344;23.9202875209607;22.9431711893944;22.9170081623764;23.316056812097;23.5743641348849;23.8903309759386;24.226710558978
1968;24.4496659515994;24.919945001971;24.7268929241118;24.9214627020099;24.58183394768;24.1632878141617;23.7614836601225;23.605299323196;23.8490714787826;24.36342891573;24.3818275984912;24.4208486380508
1969;24.8423447765182;25.6125931091632;25.8101698535842;25.9602700237501;25.4333603058254;24.3467339319107;23.2120746873772;23.2570670568817;23.5946221926635;23.9978893995271;24.1726567177724;24.5392127099512
1970;24.8226277119941;25.5700006356123;25.5602383854132;25.5009081832468;25.0821982970122;24.1582229572863;23.3416437998508;23.2441700308577;23.5966952916617;24.0997242240611;24.422336251421;24.5217939457381
1971;24.657500785855;25.0606602097077;25.4514834381548;25.2097350715474;24.9916392663162;24.252968569184;23.1043809446273;22.8486341532093;23.423133471132;23.7866480175601;23.8853428235373;24.0164887230554
1972;24.4976202757034;24.9281777914082;25.1969385076023;25.1810781100242;25.0204623421467;23.9833553658894;23.4941195888154;23.2597192652123;23.6695048409482;24.1750432471213;24.4114044469206;25.0787251052043
1973;25.4357465045515;26.0076239369714;26.17168493542;25.8009631440398;25.3624013464379;24.5813968171954;23.8430090858906;23.6430159616112;24.0104747427778;24.4066444714367;24.41033072598;24.3894597881184
1974;24.4527962876334;25.0786280910481;25.1703311236314;25.1637613193083;24.6505498679846;24.3645739094854;23.350754534339;23.3528530912877;23.5235405250104;23.9159315664563;24.0939728054652;24.2524679591347
1975;24.7395886481235;24.9720296069484;25.2585842024617;25.1933065696508;24.8455557844991;24.2138130134039;23.1330075360909;22.9452345114061;23.193422653139;23.7633623529538;24.107821174787;24.2499251869287
1976;24.5014203116985;24.5562443149443;25.1094425075982;25.0103319671505;24.6747695418111;23.7192940739873;22.8250051605109;22.6983460948676;23.4242812987966;23.8509307121045;23.8812700237876;24.1764288869944
1977;24.5984712614482;25.1180446970916;25.3540195878436;25.3204048912105;24.9673294741791;24.0529970298458;23.3409122262068;23.3395149200744;23.8986294648361;24.2284077871609;24.198092185851;24.4287305423049
1978;24.8027372122307;25.2995516652811;25.2403420459485;25.120574338852;24.9006452305674;23.9360525574963;23.1726783437841;23.0851097484742;23.4678455670228;23.8744900851018;24.1183277512213;24.4859948719414
1979;24.8607492215614;25.2440872458019;25.5077886784752;25.4794014106383;25.185880641377;24.2741860941331;23.6261365375389;23.524401608302;23.9693293104646;24.3194301147692;24.4860456461467;24.6329103894814
1980;24.9923272922231;25.3158651576985;25.6026877465527;25.7016872449939;25.0766558319834;24.2005294894053;23.39062314889;23.3744530995068;23.9148484463837;24.2637573557366;24.2344274352567;24.4470276766554
1981;24.7907751872949;25.4882601633724;25.4471138808864;25.597919363805;25.0530543754355;24.4232576025137;23.3350443811771;23.3884741955906;23.8384879144834;24.4632520898622;24.6439857787115;24.8495152751151
