Year;Window_1;Window_2;Window_3
1959;NA;NA;NA
1960;NA;NA;NA
1961;24.3774629669044;NA;NA
1962;24.3464199767168;NA;NA
1963;24.316616456002;NA;NA
1964;24.3897845066024;24.3678469858507;NA
1965;24.3657490855947;24.3697668281952;NA
1966;24.3255497105514;24.3488367206847;NA
1967;24.3775935330247;24.3581514797642;NA
1968;24.4125122787352;24.4087135765947;NA
1969;24.3233832779501;24.3854966115698;24.3583266105434
1970;24.3721614429207;24.378751012662;24.362131013349
1971;24.4700610653945;24.3553042157305;24.3694617556831
1972;24.4162921434863;24.3313795124978;24.3749832432178
1973;24.3661851825439;24.3430880262469;24.3964048834457
1974;24.3308449451027;24.3645268576483;24.4044512046411
1975;24.3308861786164;24.3622439756019;24.414770550015
1976;24.2213728748295;24.3739139268782;24.4273898174034
1977;24.2794162519241;24.391709925892;24.4475018578586
1978;24.3412780514924;24.4213590827074;24.4888367982865
1979;24.4534536432601;24.4104928561575;24.5061173375667
1980;24.4561101874173;24.4309775607055;24.5158693704984
1981;24.5443577671338;24.4619726235523;24.5310723739818
1982;24.5711862621148;24.5569452636151;24.5427836214455
1983;24.5675060307143;24.6136667869393;24.5619773552568
1984;24.5599143152271;24.6519358534347;24.5561197430124
1985;24.6943626880935;24.6686104366739;24.588008718577
1986;24.7539631279264;24.6922912439487;24.6164946024836
1987;24.7525474688392;24.6797239189583;24.6511607540678
1988;24.8022085790547;24.7151402391113;24.6970357837782
1989;24.8479790163644;24.7136237630403;24.7228281570351
1990;24.7235666850151;24.7359245927202;24.7280233258915
1991;24.6793517821958;24.7638605673747;24.7354871596131
1992;24.6800711682661;24.7825032766353;24.7496718753265
1993;24.7192774054165;24.8077624619808;24.7824875929194
1994;24.7249585422514;24.7897988020397;24.7954737595399
1995;24.7860289021166;24.7881655626319;24.8148647257815
1996;24.8981315784065;24.7815143002754;24.8407453009703
1997;24.9215482137252;24.7912402476272;24.8662869686304
1998;24.8674776026451;24.8493265987058;24.8641314865984
1999;24.8410467914364;24.8671249454297;24.8667053085679
2000;24.8672003525463;24.9044605505349;24.8987731332835
2001;24.8150077858101;24.9134746725472;24.9120663382346
2002;24.8494692976538;24.9388489589236;24.9200364761476
2003;24.9359201416527;24.9635257529916;24.9483325129276
2004;25.0095902244144;24.937581334265;24.9596633888128
2005;25.0496977071037;24.9878308080906;24.9804421439106
2006;25.0372670415454;25.0199652784198;25.0084922952212
2007;25.053135633844;25.0446126664237;25.0339403541407
2008;25.1049627803477;25.0589851361969;25.0571451718137
2009;25.1017569355648;25.0533849403623;25.065862623355
2010;25.0737269479365;25.0667452241116;25.0978126104021
2011;25.077210995598;25.105577225287;25.1412115360778
2012;25.0697757192243;25.1326874870637;NA
2013;25.0230810128999;25.146868937258;NA
2014;25.1242664247605;25.1928855412435;NA
2015;25.2033548298224;25.2310036509959;NA
2016;25.2430420694382;25.2510025134211;NA
2017;25.344168363484;NA;NA
2018;25.4145041729896;NA;NA
2019;25.4248984142428;NA;NA
2020;NA;NA;NA
2021;NA;NA;NA
