Year;Month;Number_of_hours;Mean
1959;1;517176;25.0878123850227
1959;2;517920;25.3132153695914
1959;3;518592;25.7045030171136
1959;4;519336;25.5041363168338
1959;5;520056;24.9089616512692
1959;6;520800;24.252101741526
1959;7;521520;23.264244379662
1959;8;522264;23.0293705603312
1959;9;523008;23.5410600135205
1959;10;523728;23.9204116917841
1959;11;524472;24.1187356566106
1959;12;525192;24.4704387645427
1960;1;525936;24.9199840105674
1960;2;526680;25.1052662929665
1960;3;527376;25.2150064927113
1960;4;528120;25.2084727034645
1960;5;528840;24.9778810185624
1960;6;529584;24.1808272573009
1960;7;530304;23.3511449411538
1960;8;531048;23.4268259505033
1960;9;531792;23.6014614887163
1960;10;532512;24.038172383712
1960;11;533256;24.3485156056998
1960;12;533976;24.6879390921732
1961;1;534720;24.9464059787038
1961;2;535464;25.0046677710661
1961;3;536136;25.5541311157785
1961;4;536880;25.2889211948996
1961;5;537600;25.2111476531015
1961;6;538344;24.2308359407717
1961;7;539064;23.1419215419097
1961;8;539808;22.9483212883022
1961;9;540552;23.2887287031423
1961;10;541272;23.6864803915443
1961;11;542016;23.7990108109946
1961;12;542736;24.1558076670171
1962;1;543480;24.5737508765941
1962;2;544224;25.1399774046149
1962;3;544896;25.1112021925326
1962;4;545640;25.0649596358683
1962;5;546360;24.812595792539
1962;6;547104;23.9257335369865
1962;7;547824;23.5477041460686
1962;8;548568;23.1876434492041
1962;9;549312;23.486154082613
1962;10;550032;23.8748713012561
1962;11;550776;24.0023612592866
1962;12;551496;24.2744099403814
1963;1;552240;24.4114654411144
1963;2;552984;25.0667252508389
1963;3;553656;25.2459758263702
1963;4;554400;25.1736647258701
1963;5;555120;24.9579158843816
1963;6;555864;24.7327887173488
1963;7;556584;23.9605422882054
1963;8;557328;23.8850718676213
1963;9;558072;24.055031292888
1963;10;558792;24.2447665993229
1963;11;559536;24.0765521047476
1963;12;560256;24.4030455550414
1964;1;561000;25.0000657632151
1964;2;561744;25.4217607671847
1964;3;562440;25.7288309462692
1964;4;563184;25.3733854495914
1964;5;563904;25.1824590055425
1964;6;564648;24.2995069745615
1964;7;565368;23.599393467953
1964;8;566112;22.988166702258
1964;9;566856;22.9962198088264
1964;10;567576;23.2551943966938
1964;11;568320;23.7162701512415
1964;12;569040;23.6911587032131
1965;1;569784;24.1939010247916
1965;2;570528;24.7641324038901
1965;3;571200;25.182930265088
1965;4;571944;25.079933343994
1965;5;572664;25.2808586826845
1965;6;573408;24.2755161828724
1965;7;574128;23.7433543013364
1965;8;574872;23.3578961596363
1965;9;575616;23.5351191057529
1965;10;576336;23.8607612839441
1965;11;577080;23.938615852742
1965;12;577800;24.0602673879087
1966;1;578544;24.8601927216122
1966;2;579288;25.1757440659831
1966;3;579960;25.5946660735741
1966;4;580704;25.6812203362553
1966;5;581424;25.4441576071348
1966;6;582168;24.8590045156284
1966;7;582888;24.3310649144058
1966;8;583632;23.4973896365699
1966;9;584376;23.4538043990447
1966;10;585096;23.9729335151949
1966;11;585840;24.2095357747975
1966;12;586560;24.5667495330566
1967;1;587304;24.7280198101651
1967;2;588048;25.1817953577689
1967;3;588720;25.2578790183751
1967;4;589464;25.1057319742713
1967;5;590184;24.813717344654
1967;6;590928;23.8885541556261
1967;7;591648;22.9137192170083
1967;8;592392;22.875378299355
1967;9;593136;23.2522744116373
1967;10;593856;23.5146246087459
1967;11;594600;23.8397005344316
1967;12;595320;24.187843625443
1968;1;596064;24.4338272236541
1968;2;596808;24.905922975909
1968;3;597504;24.7254460017679
1968;4;598248;24.9224435668231
1968;5;598968;24.5728077060298
1968;6;599712;24.1151398900891
1968;7;600432;23.6985097250794
1968;8;601176;23.5558108363212
1968;9;601920;23.7912860470022
1968;10;602640;24.3152063018647
1968;11;603384;24.3486708192291
1968;12;604104;24.4165119573859
1969;1;604848;24.8340239323123
1969;2;605592;25.5904154948865
1969;3;606264;25.807486786589
1969;4;607008;25.9511803530245
