Year;Annual_mean
1959;24.4262492956507
1960;24.4217914364609
1961;24.2713650047693
1962;24.2501136348287
1963;24.5177954628126
1964;24.2710343447125
1965;24.2727738328868
1966;24.6372052577714
1967;24.1299365297901
1968;24.3167985875963
1969;24.5312534570788
1970;24.4473675614393
1971;24.1915602538461
1972;24.3738273546432
1973;24.806296699965
1974;24.262408847538
1975;24.1968327567272
1976;24.01485906664
1977;24.3740335222116
1978;24.2587301810307
1979;24.5526257330111
1980;24.5061417545687
1981;24.5757370254781
1982;24.387316242998
1983;24.6999680796132
1984;24.6867682079162
1985;24.4877405975659
1986;24.5377784480422
1987;25.0595581073299
1988;24.9979702787777
1989;24.6796899124805
1990;24.736046148643
1991;24.7666306345907
1992;24.4374964505838
1993;24.7768957646809
1994;24.683286842832
1995;24.9320773343953
1996;24.7950363187653
1997;24.7428482499097
1998;25.3374091461302
1999;24.8003700194257
2000;24.6617242789946
2001;24.6628822627218
2002;24.8736160554596
2003;25.0764463124488
2004;24.9726775786441
2005;25.0939784989892
2006;25.0312326765305
2007;25.0741534689058
2008;25.0142929846572
2009;25.0520205401373
2010;25.3531142315079
2011;25.0152034526159
2012;24.9340035307642
2013;25.0317132229645
2014;25.0148441582688
2015;25.1196406998859
2016;25.5211305119188
2017;25.3294455560738
2018;25.2301494210437
2019;25.5204756284979
2020;25.4713197474136
2021;25.5731017181849
