Year;Window_1;Window_2;Window_3
1857;NA;NA;NA
1858;NA;NA;NA
1859;27.0166666666667;NA;NA
1860;23.9833333333333;NA;NA
1861;21.2;NA;NA
1862;18.5666666666667;21.0757575757576;NA
1863;16.5166666666667;19.7045454545455;NA
1864;16.2333333333333;18.8560606060606;NA
1865;15.7166666666667;18.280303030303;NA
1866;16.05;18.0378787878788;NA
1867;17;18.7878787878788;22.547619047619
1868;18.7;19.4242424242424;22.3571428571429
1869;20.1166666666667;20.2272727272727;22.5039682539683
1870;21.9833333333333;21.1666666666667;22.7301587301587
1871;23.3666666666667;22.2954545454545;23.2936507936508
1872;24.2166666666667;23.3863636363636;24.3253968253968
1873;24.9166666666667;24.6363636363636;25.4603174603175
1874;25.8833333333333;26.030303030303;26.8214285714286
1875;26.35;27.2272727272727;28.2896825396825
1876;27.1833333333333;28.4621212121212;29.9047619047619
1877;28.8166666666667;29.9166666666667;31.3492063492063
1878;30.3333333333333;31.469696969697;32.75
1879;32.2666666666667;33.2878787878788;33.8928571428571
1880;34.4833333333333;35.2727272727273;34.8293650793651
1881;37.0166666666667;37.2651515151515;35.5515873015873
1882;39.3333333333333;38.9393939393939;36.281746031746
1883;41.9166666666667;40.5530303030303;36.9126984126984
1884;44.2833333333333;41.7272727272727;37.5753968253968
1885;45.7333333333333;42.3863636363636;38.2738095238095
1886;46.3333333333333;42.7575757575758;38.9880952380952
1887;45.75;42.8333333333333;39.6904761904762
1888;44.4666666666667;42.8181818181818;40.4801587301587
1889;42.4166666666667;42.5530303030303;41.1944444444444
1890;40.8333333333333;42.0909090909091;41.6071428571429
1891;39.4666666666667;41.5909090909091;42.1507936507937
1892;38.8333333333333;40.9772727272727;42.7063492063492
1893;38.6833333333333;40.8181818181818;43.2420634920635
1894;39.35;40.7575757575758;43.6190476190476
1895;40.2;40.7575757575758;43.8492063492063
1896;41.3333333333333;41.2045454545455;44.0396825396825
1897;42.3833333333333;42.1212121212121;44.2103174603175
1898;42.8166666666667;43.2045454545455;44.5476190476191
1899;43.6166666666667;44.2727272727273;45.0079365079365
1900;44.9333333333333;45.2651515151515;45.5952380952381
1901;46.0833333333333;46.280303030303;46.2976190476191
1902;47.2;47.2348484848485;47.1309523809524
1903;48.75;48.2121212121212;48.2857142857143
1904;49.85;49.1969696969697;49.25
1905;50.6;50.1287878787879;49.8809523809524
1906;51.2166666666667;51.3409090909091;50.4603174603175
1907;52.1666666666667;52.2651515151515;50.8293650793651
1908;53.0833333333333;53.4848484848485;51.0515873015873
1909;53.95;54.2878787878788;51.218253968254
