Year,January,February,March,April,May,June,July,Aug,Sep,Oct,Nov,December
1857,35,34,34,32,34,31,35,35,34,36,31,29
1858,31,30,30,32,29,28,30,33,32,29,30,32
1859,32,31,31,30,30,31,29,31,28,27,27,28
1860,29,25,26,27,28,25,24,26,22,24,23,21
1861,21,20,16,14,13,15,16,17,16,17,17,18
1862,18,18,17,17,20,19,20,19,20,18,16,16
1863,18,16,17,17,19,19,16,17,15,15,15,15
1864,16,17,15,15,16,18,17,18,15,16,17,17
1865,16,15,14,15,15,16,14,15,14,13,15,15
1866,17,16,15,15,14,15,16,15,15,15,15,15
1867,14,15,18,16,15,15,16,15,15,16,16,16
1868,16,15,17,17,17,18,19,19,21,20,21,19
1869,18,19,21,20,21,19,18,22,24,24,24,24
1870,26,26,26,23,21,24,25,23,22,19,23,21
1871,19,19,21,26,23,22,21,26,22,21,23,25
1872,26,24,22,25,25,25,23,25,25,25,25,29
1873,26,23,26,24,25,25,24,28,24,24,27,26
1874,24,25,26,27,23,23,25,24,25,29,27,27
1875,26,26,29,27,26,27,28,28,25,26,26,27
1876,27,28,27,24,26,31,29,28,23,26,28,29
1877,26,26,28,27,25,26,27,28,30,26,28,30
1878,30,29,27,29,26,27,29,32,30,29,31,33
1879,29,33,34,33,35,37,34,37,33,32,32,34
1880,34,35,32,31,30,35,36,37,34,35,36,37
1881,36,36,36,36,34,35,36,39,38,38,40,38
1882,39,38,39,40,38,37,40,39,39,38,36,37
1883,42,42,41,38,39,40,42,44,45,45,43,43
1884,41,43,40,44,47,47,46,47,47,48,46,46
1885,46,47,46,46,47,44,45,49,49,50,46,52
1886,49,49,51,47,46,50,49,51,47,50,47,48
1887,48,46,46,46,44,44,47,48,46,43,46,43
1888,44,46,45,47,44,43,46,47,44,45,44,45
1889,45,45,42,42,42,42,41,43,42,40,41,42
1890,45,39,38,42,42,42,41,43,40,38,39,41
1891,40,39,37,39,41,39,37,36,36,35,42,40
1892,38,40,40,38,38,38,36,38,38,35,37,36
1893,37,38,39,39,37,36,37,41,40,39,38,37
1894,40,38,39,39,38,38,37,41,41,39,38,41
1895,41,39,38,37,39,40,38,43,41,43,40,42
1896,44,42,42,40,38,41,42,42,41,42,44,43
1897,41,40,39,41,44,42,41,43,45,43,42,42
1898,45,43,41,42,45,46,44,44,43,45,43,45
1899,43,42,43,43,45,44,44,47,47,44,45,45
1900,44,41,40,39,42,41,42,43,43,43,44,45
1901,47,48,46,46,44,44,43,47,47,46,46,45
1902,48,46,48,47,48,49,50,52,49,48,49,48
1903,47,49,48,48,50,51,51,52,51,48,48,52
1904,50,50,50,48,50,49,48,51,51,51,49,52
1905,49,48,48,48,51,50,52,51,49,49,54,51
1906,50,53,51,50,51,55,51,55,49,48,51,51
1907,55,52,49,51,50,52,52,54,54,50,54,54
1908,50,53,54,53,52,50,52,54,50,54,54,56
1909,55,54,53,54,53,54,57,55,54,56,55,56
1910,56,55,52,51,54,55,53,55,54,57,57,56
1911,60,58,57,55,54,53,56,59,50,55,54,56
1912,55,56,55,56,57,55,57,57,55,56,56,56
1913,59,63,64,59,61,63,62,63,63,63,61,62
1914,60,62,61,62,60,62,59,60,52,53,55,55
1915,53,51,52,53,51,51,53,53,53,51,52,55
1916,53,53,53,51,53,50,51,55,53,53,52,50
1917,52,49,52,50,49,49,48,49,48,53,48,47
1918,51,49,49,46,46,47,47,48,46,44,42,44
1919,45,45,44,46,50,49,47,48,47,48,51,48
1920,47,50,49,48,51,47,50,53,50,52,50,53
1921,56,55,55,55,55,54,53,59,55,56,57,57
1922,57,61,59,58,57,60,60,63,62,58,61,61
1923,63,61,64,60,62,63,63,65,63,62,62,61
1924,62,64,63,60,64,61,64,64,64,59,63,60
1925,63,64,61,63,62,60,63,63,60,60,65,62
1926,64,64,63,61,62,62,63,62,64,65,63,62
1927,62,66,67,67,67,66,64,68,66,65,66,64
1928,64,64,64,65,66,63,65,67,65,64,64,65
1929,65,65,64,65,66,67,64,68,64,65,64,64
1930,64,63,64,63,66,64,64,67,62,65,63,64
1931,64,66,65,66,66,66,63,64,64,63,65,66
1932,66,66,66,66,68,67,66,64,66,66,65,67
1933,65,63,65,65,63,60,63,66,66,65,68,65
1934,67,64,67,65,65,61,66,66,65,65,67,68
1935,66,67,69,66,65,67,66,70,68,70,69,69
1936,72,72,72,70,69,70,68,72,71,70,70,70
1937,71,71,71,69,67,70,72,71,68,68,69,68
1938,70,70,71,68,69,68,69,70,68,67,69,69
1939,69,70,70,69,67,68,66,64,60,57,58,59
1940,60,58,58,56,61,59,60,63,58,58,58,57
1941,60,62,62,60,59,64,63,66,62,64,63,50
1942,55,60,60,58,56,54,55,56,53,53,56,52
1943,52,54,56,52,52,52,52,55,54,53,52,55
1944,58,58,58,58,56,57,55,56,56,54,54,53
1945,55,55,53,51,52,52,50,52,47,50,52,54
1946,52,55,53,57,57,55,60,63,58,58,60,62
1947,60,64,60,60,60,60,63,64,60,57,61,61
1948,61,63,62,61,59,60,63,63,60,61,61,61
1949,69,68,70,69,67,67,68,69,69,68,69,70
1950,71,71,74,68,70,66,70,71,69,67,70,74
1951,74,73,73,70,68,68,69,72,71,72,73,75
1952,74,77,75,73,72,71,71,73,72,73,72,74
1953,76,75,74,71,73,71,72,72,72,72,73,73
1954,74,72,74,71,72,72,71,75,73,73,73,74
1955,74,74,76,73,72,72,70,74,73,73,75,78
1956,77,79,79,75,73,74,73,73,74,76,77,79
1957,80,79,81,77,75,74,75,76,76,77,77,80
1958,80,80,80,78,77,76,76,78,76,76,79,79
1959,81,83,82,77,76,75,76,77,78,77,78,82
1960,81,82,82,80,78,75,78,77,78,77,81,82
1961,83,84,83,81,79,79,79,81,79,80,83,83
1962,85,85,85,81,79,79,78,80,80,79,81,83
1963,85,84,83,82,80,79,77,79,80,79,81,84
1964,86,85,84,82,79,80,79,80,82,81,82,85
1965,84,84,85,82,81,80,79,81,81,82,84,85
1966,86,85,84,82,82,80,79,80,82,82,82,82
1967,86,87,85,83,81,81,80,81,80,81,82,85
1968,87,85,85,83,83,82,81,82,82,81,83,85
1969,88,87,84,84,82,81,83,82,83,82,84,86
1970,89,87,87,84,83,82,83,83,83,83,84,87
1971,87,88,86,84,81,82,84,83,84,85,84,87
1972,89,89,87,85,81,82,83,82,83,84,85,87
1973,88,88,87,84,84,84,84,85,82,83,86,87
1974,89,89,87,84,83,81,82,83,82,83,84,87
1975,86,87,84,85,83,82,82,83,84,82,84,86
1976,86,87,85,84,83,82,81,83,82,83,83,85
1977,87,87,86,84,83,83,82,84,84,83,85,87
1978,88,88,88,85,84,82,82,83,82,83,83,88
1979,91,90,89,89,89,88,88,87,86,86,87,90
